2
70,64
2
age,mass
luminosity_group0,luminosity_group1
year,Msun
erg/s,erg/s
100000.0,3.0
200000000.0,120.0
log,log
2.06048000e+29,2.18778000e+29,2.26235000e+29,2.29719000e+29,2.30029000e+29,2.28219000e+29,2.84232000e+29,3.46475000e+29,3.96145000e+29,4.36382000e+29,5.00196000e+29,5.22198000e+29,5.44008000e+29,5.56970000e+29,5.71256000e+29,5.85202000e+29,6.02058000e+29,7.20385000e+29,8.94965000e+29,1.09314000e+30,1.33832000e+30,1.67201000e+30,2.67283000e+30,5.54910000e+30,1.43322000e+31,5.19563000e+31,5.03968000e+32,5.85610000e+33,6.27692000e+34,1.42044000e+35,8.38746000e+34,1.34628000e+35,1.07008000e+35,1.05285000e+35,1.05207000e+35,1.04996000e+35,1.04817000e+35,1.04686000e+35,1.04571000e+35,1.04476000e+35,1.04394000e+35,1.04332000e+35,1.04294000e+35,1.04240000e+35,1.04199000e+35,1.04183000e+35,1.04191000e+35,1.04216000e+35,1.04254000e+35,1.04293000e+35,1.04333000e+35,1.04373000e+35,1.04434000e+35,1.04537000e+35,1.04662000e+35,1.04816000e+35,1.05010000e+35,1.05244000e+35,1.05519000e+35,1.05843000e+35,1.03854000e+35,1.04781000e+35,1.06891000e+35,1.09351000e+35,1.12226000e+35,1.15602000e+35,1.19612000e+35,1.24429000e+35,1.30294000e+35,1.30208000e+35
2.50077000e+29,2.57155000e+29,2.64856000e+29,2.67521000e+29,2.67743000e+29,3.35150000e+29,4.15828000e+29,4.76893000e+29,5.28373000e+29,5.45325000e+29,6.17077000e+29,6.45466000e+29,6.59811000e+29,6.97962000e+29,7.12555000e+29,7.64236000e+29,9.49630000e+29,1.18228000e+30,1.45461000e+30,1.77261000e+30,2.30176000e+30,4.40030000e+30,9.03300000e+30,2.60009000e+31,1.27314000e+32,1.90013000e+33,2.23009000e+34,1.44982000e+35,1.37477000e+35,1.26477000e+35,1.68531000e+35,1.37647000e+35,1.39616000e+35,1.39910000e+35,1.38985000e+35,1.39057000e+35,1.37430000e+35,1.37973000e+35,1.38076000e+35,1.37502000e+35,1.36176000e+35,1.35252000e+35,1.37376000e+35,1.38596000e+35,1.37920000e+35,1.35395000e+35,1.38414000e+35,1.37115000e+35,1.36931000e+35,1.37584000e+35,1.39186000e+35,1.38430000e+35,1.38833000e+35,1.39140000e+35,1.39589000e+35,1.40506000e+35,1.37604000e+35,1.40534000e+35,1.36332000e+35,1.36636000e+35,1.38084000e+35,1.41862000e+35,1.43770000e+35,1.45130000e+35,1.44483000e+35,1.45723000e+35,1.47731000e+35,1.54653000e+35,1.64779000e+35,1.77516000e+35
2.97611000e+29,3.08580000e+29,3.12175000e+29,3.11931000e+29,3.83571000e+29,4.83716000e+29,5.61587000e+29,6.26164000e+29,6.71108000e+29,7.22730000e+29,8.03136000e+29,8.33461000e+29,8.61896000e+29,8.88111000e+29,1.06830000e+30,1.31081000e+30,1.60858000e+30,1.98344000e+30,2.47917000e+30,3.50525000e+30,7.55631000e+30,1.87889000e+31,6.44657000e+31,6.61235000e+32,6.48367000e+33,7.45546000e+34,2.39295000e+35,1.43883000e+35,2.12996000e+35,2.02309000e+35,1.84796000e+35,1.84029000e+35,1.81480000e+35,1.85673000e+35,1.79953000e+35,1.83699000e+35,1.84775000e+35,1.84580000e+35,1.84657000e+35,1.80367000e+35,1.85506000e+35,1.83104000e+35,1.85863000e+35,1.85071000e+35,1.83485000e+35,1.83153000e+35,1.85391000e+35,1.84194000e+35,1.86357000e+35,1.86668000e+35,1.84431000e+35,1.84294000e+35,1.85994000e+35,1.85147000e+35,1.86126000e+35,1.84569000e+35,1.86854000e+35,1.84626000e+35,1.85138000e+35,1.87524000e+35,1.91159000e+35,1.90760000e+35,1.93848000e+35,1.96539000e+35,1.98423000e+35,2.02416000e+35,2.07590000e+35,2.11282000e+35,2.13341000e+35,2.37891000e+35
3.52162000e+29,3.59817000e+29,3.62035000e+29,4.23016000e+29,5.40908000e+29,6.52714000e+29,7.38847000e+29,8.08943000e+29,8.64563000e+29,9.07706000e+29,9.53514000e+29,1.04913000e+30,1.08936000e+30,1.40317000e+30,1.76883000e+30,2.15829000e+30,2.71679000e+30,3.37546000e+30,6.67526000e+30,1.29260000e+31,3.99601000e+31,2.15458000e+32,2.81147000e+33,2.92022000e+34,1.88574000e+35,3.27831000e+35,1.92379000e+35,3.09428000e+35,2.45169000e+35,2.43316000e+35,2.40984000e+35,2.40368000e+35,2.42478000e+35,2.40946000e+35,2.41825000e+35,2.41977000e+35,2.41897000e+35,2.40899000e+35,2.40610000e+35,2.37677000e+35,2.38464000e+35,2.42598000e+35,2.41677000e+35,2.37951000e+35,2.40293000e+35,2.43873000e+35,2.41817000e+35,2.50289000e+35,2.45649000e+35,2.46489000e+35,2.47223000e+35,2.48371000e+35,2.49150000e+35,2.46804000e+35,2.50046000e+35,2.45338000e+35,2.51560000e+35,2.51296000e+35,2.50119000e+35,2.57550000e+35,2.58253000e+35,2.63065000e+35,2.63639000e+35,2.68501000e+35,2.73143000e+35,2.82686000e+35,2.83474000e+35,2.89785000e+35,2.91912000e+35,3.15623000e+35
4.11854000e+29,4.14018000e+29,4.42823000e+29,6.19957000e+29,7.54433000e+29,8.66205000e+29,9.52407000e+29,1.02924000e+30,1.09575000e+30,1.15657000e+30,1.18450000e+30,1.41105000e+30,1.78615000e+30,2.28475000e+30,2.88793000e+30,3.83996000e+30,6.53301000e+30,1.31862000e+31,2.82882000e+31,1.20500000e+32,1.24884000e+33,1.07611000e+34,1.00373000e+35,3.51200000e+35,3.06772000e+35,3.01263000e+35,3.87867000e+35,3.15001000e+35,3.19750000e+35,3.19749000e+35,3.18339000e+35,3.11763000e+35,3.15494000e+35,3.16608000e+35,3.16662000e+35,3.16377000e+35,3.14852000e+35,3.13915000e+35,3.16667000e+35,3.16912000e+35,3.16551000e+35,3.14336000e+35,3.17110000e+35,3.17914000e+35,3.16817000e+35,3.12875000e+35,3.19480000e+35,3.20504000e+35,3.20934000e+35,3.21588000e+35,3.23669000e+35,3.24400000e+35,3.24156000e+35,3.21068000e+35,3.22424000e+35,3.19736000e+35,3.26410000e+35,3.31513000e+35,3.38595000e+35,3.44907000e+35,3.45772000e+35,3.59557000e+35,3.64809000e+35,3.75252000e+35,3.85377000e+35,3.91917000e+35,3.98536000e+35,3.99156000e+35,4.17515000e+35,3.70127000e+35
4.78487000e+29,4.85071000e+29,6.73786000e+29,8.46431000e+29,9.94047000e+29,1.11973000e+30,1.21962000e+30,1.31912000e+30,1.40515000e+30,1.49089000e+30,1.80164000e+30,2.45391000e+30,3.14872000e+30,4.12139000e+30,5.57836000e+30,1.27156000e+31,2.52387000e+31,6.82981000e+31,5.16412000e+32,4.77078000e+33,4.49539000e+34,2.62330000e+35,5.73843000e+35,3.59534000e+35,4.83296000e+35,4.45956000e+35,4.14180000e+35,4.12395000e+35,4.11374000e+35,4.14701000e+35,4.08934000e+35,4.09613000e+35,4.09818000e+35,4.10446000e+35,4.13161000e+35,4.11440000e+35,4.07765000e+35,4.07711000e+35,4.11510000e+35,4.14068000e+35,4.10232000e+35,4.10758000e+35,4.08014000e+35,4.14475000e+35,4.13395000e+35,4.15742000e+35,4.13962000e+35,4.14910000e+35,4.16926000e+35,4.28255000e+35,4.26950000e+35,4.20575000e+35,4.29035000e+35,4.26170000e+35,4.33722000e+35,4.36628000e+35,4.40500000e+35,4.47297000e+35,4.54889000e+35,4.63464000e+35,4.72445000e+35,4.82505000e+35,4.95470000e+35,5.11726000e+35,5.30051000e+35,5.40160000e+35,5.41740000e+35,5.31981000e+35,8.28543000e+26,7.62133000e+29
5.53194000e+29,6.91477000e+29,9.23825000e+29,1.12080000e+30,1.28781000e+30,1.43590000e+30,1.57415000e+30,1.70951000e+30,1.84058000e+30,2.36291000e+30,3.35488000e+30,4.55583000e+30,6.10140000e+30,1.04000000e+31,2.06941000e+31,5.31673000e+31,2.13657000e+32,1.56741000e+33,1.13137000e+34,1.04931000e+35,4.59988000e+35,7.58453000e+35,4.43965000e+35,6.47320000e+35,5.51503000e+35,5.22130000e+35,5.22812000e+35,5.23256000e+35,5.18084000e+35,5.29166000e+35,5.23099000e+35,5.17928000e+35,5.17706000e+35,5.22770000e+35,5.23870000e+35,5.28333000e+35,5.21681000e+35,5.20051000e+35,5.25513000e+35,5.22927000e+35,5.24599000e+35,5.21240000e+35,5.28364000e+35,5.27299000e+35,5.39680000e+35,5.27292000e+35,5.29032000e+35,5.31151000e+35,5.38801000e+35,5.55167000e+35,5.36836000e+35,5.44528000e+35,5.32490000e+35,5.39253000e+35,5.41989000e+35,5.52761000e+35,5.69741000e+35,5.80229000e+35,5.92583000e+35,6.09238000e+35,6.26677000e+35,6.46719000e+35,6.64666000e+35,6.80479000e+35,7.11168000e+35,7.13718000e+35,6.66081000e+35,4.24209000e+27,4.36198000e+28,0.00000000e+00
7.16241000e+29,1.01896000e+30,1.27877000e+30,1.50114000e+30,1.67285000e+30,1.85755000e+30,2.06174000e+30,2.28572000e+30,3.14698000e+30,4.62184000e+30,6.55932000e+30,8.97190000e+30,1.97133000e+31,3.65899000e+31,1.12954000e+32,8.91157000e+32,6.30560000e+33,5.09421000e+34,2.93491000e+35,7.33330000e+35,8.67880000e+35,6.15116000e+35,8.45098000e+35,6.69594000e+35,6.62603000e+35,6.70877000e+35,6.54501000e+35,6.72534000e+35,6.57341000e+35,6.55418000e+35,6.55448000e+35,6.54147000e+35,6.51982000e+35,6.54490000e+35,6.76013000e+35,6.52284000e+35,6.54964000e+35,6.51553000e+35,6.79998000e+35,6.62359000e+35,6.57412000e+35,6.61492000e+35,6.80755000e+35,6.76882000e+35,6.70585000e+35,6.74743000e+35,6.68060000e+35,6.99674000e+35,6.76221000e+35,6.82554000e+35,6.84412000e+35,7.03709000e+35,7.11935000e+35,7.16637000e+35,7.35762000e+35,7.32414000e+35,7.55047000e+35,7.71145000e+35,7.90344000e+35,8.12844000e+35,8.37784000e+35,8.75254000e+35,9.12741000e+35,9.33980000e+35,9.38006000e+35,8.94391000e+35,1.91167000e+30,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.20370000e+30,1.54271000e+30,1.84004000e+30,2.12996000e+30,2.40932000e+30,2.72771000e+30,3.08909000e+30,4.99412000e+30,7.45392000e+30,1.02633000e+31,2.07666000e+31,3.76327000e+31,1.07712000e+32,7.28787000e+32,5.22689000e+33,2.97373000e+34,2.07983000e+35,6.62338000e+35,1.19419000e+36,7.88459000e+35,9.57276000e+35,9.41427000e+35,8.48864000e+35,8.41526000e+35,8.41088000e+35,8.45035000e+35,8.41663000e+35,8.42850000e+35,8.42539000e+35,8.43379000e+35,8.42736000e+35,8.43289000e+35,8.41180000e+35,8.32261000e+35,8.46138000e+35,8.46343000e+35,8.45415000e+35,8.50368000e+35,8.50640000e+35,8.53771000e+35,8.54571000e+35,8.59716000e+35,8.63009000e+35,8.66320000e+35,8.69976000e+35,8.75092000e+35,8.61450000e+35,8.70364000e+35,8.75190000e+35,8.86667000e+35,8.95542000e+35,9.06301000e+35,9.18268000e+35,9.33079000e+35,9.47766000e+35,9.68926000e+35,9.97407000e+35,1.02396000e+36,1.06432000e+36,1.10108000e+36,1.15139000e+36,1.19432000e+36,1.25289000e+36,1.23112000e+36,1.78258000e+27,9.56204000e+29,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.84691000e+30,2.26260000e+30,2.73627000e+30,3.18812000e+30,3.71415000e+30,5.28001000e+30,8.64393000e+30,1.26585000e+31,2.22990000e+31,4.26373000e+31,1.15090000e+32,5.54616000e+32,4.19853000e+33,1.92394000e+34,1.39298000e+35,5.65635000e+35,1.17121000e+36,1.53246000e+36,9.75085000e+35,1.34689000e+36,1.10535000e+36,1.06744000e+36,1.07046000e+36,1.07396000e+36,1.04486000e+36,1.10243000e+36,1.08439000e+36,1.08560000e+36,1.06851000e+36,1.08838000e+36,1.07090000e+36,1.06153000e+36,1.04933000e+36,1.08249000e+36,1.07243000e+36,1.06311000e+36,1.05035000e+36,1.09322000e+36,1.08148000e+36,1.06302000e+36,1.06447000e+36,1.09599000e+36,1.09375000e+36,1.09248000e+36,1.07142000e+36,1.07747000e+36,1.10782000e+36,1.11835000e+36,1.10083000e+36,1.11848000e+36,1.15073000e+36,1.16171000e+36,1.19078000e+36,1.20242000e+36,1.25018000e+36,1.28107000e+36,1.33261000e+36,1.35855000e+36,1.41541000e+36,1.48918000e+36,1.55910000e+36,1.63424000e+36,1.62954000e+36,1.36215000e+27,6.95395000e+32,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
